HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_392756	dblp:publishedIn	venue_1779	0.1020
pub_414936	dblp:publishedIn	venue_2094	0.1084
author_295772	dblp:wrote	pub_486812	0.0702
pub_89945	dblp:hasAuthor	author_450943	0.0628
pub_205687	dblp:publishedIn	venue_103	0.1102
pub_84998	dblp:hasAuthor	author_396968	0.0749
author_274383	dblp:wrote	pub_232299	0.0788
pub_457056	dblp:hasAuthor	author_48681	0.0722
pub_182388	dblp:hasAuthor	author_503248	0.1332
pub_102	dblp:inYear	year_47	0.1907
pub_423636	dblp:publishedIn	venue_3003	0.1466
pub_329556	dblp:hasAuthor	author_441788	0.0744
author_151183	dblp:wrote	pub_470832	0.1005
pub_132281	dblp:inYear	year_15	0.1792
author_388890	dblp:wrote	pub_174278	0.0735
author_198915	dblp:wrote	pub_216117	0.0814
pub_287712	dblp:hasAuthor	author_444646	0.0736
author_236314	dblp:wrote	pub_313241	0.0651
author_235388	dblp:wrote	pub_218302	0.0997
author_637875	dblp:wrote	pub_95613	0.0923
author_538224	dblp:wrote	pub_72335	0.0905
author_604834	dblp:wrote	pub_78807	0.0752
pub_457431	dblp:inYear	year_8	0.1707
pub_92049	dblp:publishedIn	venue_2892	0.1349
author_82687	dblp:wrote	pub_374357	0.0726
pub_359223	dblp:inYear	year_53	0.1740
pub_99068	dblp:inYear	year_21	0.2043
pub_361883	dblp:hasAuthor	author_216588	0.0969
pub_414737	dblp:publishedIn	venue_1120	0.1096
author_99085	dblp:wrote	pub_451404	0.1120
pub_285232	dblp:inYear	year_39	0.1801
pub_343047	dblp:inYear	year_54	0.1725
pub_448351	dblp:publishedIn	venue_1790	0.1077
pub_482580	dblp:inYear	year_15	0.1424
pub_263086	dblp:publishedIn	venue_637	0.1272
pub_81769	dblp:inYear	year_29	0.1728
pub_68162	dblp:inYear	year_28	0.1171
pub_175606	dblp:inYear	year_54	0.1701
pub_41139	dblp:publishedIn	venue_1539	0.1023
pub_194472	dblp:publishedIn	venue_44	0.1121
author_344483	dblp:wrote	pub_235876	0.0787
pub_416361	dblp:publishedIn	venue_2344	0.1525
author_200969	dblp:wrote	pub_300898	0.0683
pub_407866	dblp:publishedIn	venue_1049	0.0971
pub_57504	dblp:inYear	year_27	0.1647
pub_279163	dblp:inYear	year_26	0.1753
author_422312	dblp:wrote	pub_58116	0.0806
pub_272502	dblp:hasAuthor	author_68786	0.0736
author_587785	dblp:wrote	pub_381007	0.0693
pub_166654	dblp:inYear	year_39	0.1643
pub_293468	dblp:inYear	year_36	0.2190
pub_195783	dblp:hasAuthor	author_278850	0.0725
pub_308935	dblp:inYear	year_19	0.1932
pub_214843	dblp:hasAuthor	author_159096	0.0626
pub_30371	dblp:publishedIn	venue_156	0.1640
pub_173718	dblp:publishedIn	venue_1381	0.0847
pub_291981	dblp:publishedIn	venue_1005	0.1118
pub_385087	dblp:publishedIn	venue_1033	0.1277
pub_193303	dblp:publishedIn	venue_2723	0.0889
author_148953	dblp:wrote	pub_41006	0.0891
author_134114	dblp:wrote	pub_256238	0.0714
author_513034	dblp:wrote	pub_473189	0.0658
pub_180807	dblp:publishedIn	venue_2308	0.1299
pub_460448	dblp:hasAuthor	author_552316	0.0583
pub_426377	dblp:inYear	year_16	0.1655
pub_247304	dblp:publishedIn	venue_2902	0.1113
pub_309692	dblp:inYear	year_31	0.1330
pub_285064	dblp:hasAuthor	author_155403	0.0938
pub_381360	dblp:publishedIn	venue_2230	0.1171
pub_449121	dblp:publishedIn	venue_2338	0.0866
pub_421231	dblp:publishedIn	venue_2209	0.0834
pub_292074	dblp:hasAuthor	author_475659	0.0697
author_295980	dblp:wrote	pub_193739	0.1060
pub_46599	dblp:publishedIn	venue_3016	0.1056
author_147309	dblp:wrote	pub_47868	0.0712
pub_125212	dblp:hasAuthor	author_458883	0.0632
pub_325405	dblp:hasAuthor	author_534996	0.0608
pub_167567	dblp:hasAuthor	author_262732	0.0897
pub_224931	dblp:publishedIn	venue_1659	0.0961
pub_474653	dblp:inYear	year_24	0.1610
pub_454694	dblp:publishedIn	venue_1944	0.1104
pub_336104	dblp:hasAuthor	author_420429	0.0803
pub_316750	dblp:publishedIn	venue_3033	0.1030
pub_139227	dblp:hasAuthor	author_636686	0.0598
pub_138106	dblp:publishedIn	venue_2621	0.1165
pub_432936	dblp:publishedIn	venue_2081	0.1001
author_496437	dblp:wrote	pub_453245	0.0835
author_23481	dblp:wrote	pub_161131	0.0771
pub_453877	dblp:hasAuthor	author_520391	0.0756
pub_380933	dblp:inYear	year_39	0.1550
author_202579	dblp:wrote	pub_476839	0.0626
pub_338552	dblp:publishedIn	venue_1401	0.1081
pub_479495	dblp:inYear	year_1	0.1867
pub_139032	dblp:inYear	year_36	0.1795
author_326313	dblp:wrote	pub_28151	0.1057
author_60545	dblp:wrote	pub_82848	0.0761
pub_205253	dblp:inYear	year_59	0.1592
pub_205647	dblp:publishedIn	venue_2529	0.1139
pub_291150	dblp:hasAuthor	author_377169	0.0747
pub_108870	dblp:hasAuthor	author_320646	0.0856
author_576278	dblp:wrote	pub_154018	0.0736
pub_316905	dblp:inYear	year_0	0.1522
pub_334862	dblp:publishedIn	venue_2230	0.0974
author_113778	dblp:wrote	pub_103925	0.0733
pub_246410	dblp:publishedIn	venue_2035	0.1376
pub_287389	dblp:publishedIn	venue_805	0.1098
pub_331515	dblp:hasAuthor	author_566121	0.0608
author_542734	dblp:wrote	pub_378437	0.1022
pub_311361	dblp:hasAuthor	author_274522	0.0895
pub_280049	dblp:hasAuthor	author_18727	0.0634
pub_245865	dblp:inYear	year_3	0.1872
pub_460945	dblp:publishedIn	venue_27	0.1266
pub_263431	dblp:hasAuthor	author_407647	0.0701
pub_6388	dblp:inYear	year_21	0.1376
pub_313427	dblp:inYear	year_8	0.1592
pub_337288	dblp:publishedIn	venue_1042	0.1477
pub_87679	dblp:publishedIn	venue_2598	0.1517
pub_367496	dblp:inYear	year_36	0.2230
pub_458659	dblp:hasAuthor	author_145481	0.0901
pub_83780	dblp:inYear	year_22	0.1739
pub_357389	dblp:hasAuthor	author_400051	0.0878
pub_208630	dblp:publishedIn	venue_1309	0.0931
author_254135	dblp:wrote	pub_347780	0.0887
pub_59343	dblp:hasAuthor	author_1418	0.0715
pub_390528	dblp:inYear	year_55	0.1255
pub_243839	dblp:hasAuthor	author_588592	0.0754
pub_372142	dblp:hasAuthor	author_343042	0.0904
author_184171	dblp:wrote	pub_25023	0.0671
pub_219857	dblp:inYear	year_28	0.1935
author_55986	dblp:wrote	pub_491684	0.0565
author_318402	dblp:wrote	pub_258240	0.0984
pub_336719	dblp:hasAuthor	author_136233	0.0779
pub_172471	dblp:publishedIn	venue_1526	0.0938
pub_32350	dblp:hasAuthor	author_256498	0.0727
pub_284301	dblp:inYear	year_5	0.1585
author_289197	dblp:wrote	pub_149471	0.0730
author_31166	dblp:wrote	pub_396392	0.1086
pub_93989	dblp:inYear	year_32	0.1291
pub_141106	dblp:publishedIn	venue_1635	0.1006
author_25473	dblp:wrote	pub_387948	0.0887
author_455422	dblp:wrote	pub_324387	0.0789
pub_382731	dblp:hasAuthor	author_165264	0.1039
pub_67806	dblp:publishedIn	venue_2908	0.0988
pub_311400	dblp:publishedIn	venue_2806	0.0833
pub_186669	dblp:inYear	year_2	0.1674
pub_255639	dblp:inYear	year_19	0.1625
pub_242029	dblp:hasAuthor	author_321550	0.0530
author_320339	dblp:wrote	pub_182143	0.0782
pub_227388	dblp:publishedIn	venue_2365	0.0954
pub_407972	dblp:publishedIn	venue_1538	0.1031
pub_82354	dblp:hasAuthor	author_27918	0.0884
pub_35249	dblp:hasAuthor	author_59964	0.0635
pub_43650	dblp:inYear	year_12	0.1311
pub_20987	dblp:publishedIn	venue_854	0.0818
pub_150451	dblp:inYear	year_33	0.1788
author_384624	dblp:wrote	pub_99498	0.0943
pub_171534	dblp:hasAuthor	author_191211	0.0755
