RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:wrote	pub_3255	0.1982
dblp:inYear	year_0	0.1991
dblp:publishedIn	venue_27	0.4187
dblp:publishedIn	venue_8	0.4198
dblp:publishedIn	venue_46	0.3710
dblp:publishedIn	venue_51	0.3358
dblp:wrote	pub_3109	0.2600
dblp:publishedIn	venue_18	0.2577
dblp:publishedIn	venue_11	0.3486
dblp:publishedIn	venue_12	0.3787
dblp:publishedIn	venue_51	0.2897
dblp:wrote	pub_2488	0.2341
dblp:inYear	year_4	0.2804
dblp:hasAuthor	author_4077	0.4175
dblp:hasAuthor	author_2647	0.4217
dblp:wrote	pub_1282	0.2106
dblp:wrote	pub_4947	0.2326
dblp:inYear	year_17	0.2599
dblp:publishedIn	venue_25	0.3293
dblp:publishedIn	venue_8	0.2586
dblp:wrote	pub_6446	0.2591
dblp:hasAuthor	author_224	0.2706
dblp:inYear	year_2	0.3014
dblp:inYear	year_2	0.2619
dblp:publishedIn	venue_40	0.3340
dblp:publishedIn	venue_51	0.3104
dblp:wrote	pub_7925	0.1767
dblp:hasAuthor	author_1629	0.3813
dblp:wrote	pub_3126	0.2448
dblp:publishedIn	venue_39	0.2811
dblp:wrote	pub_7751	0.2423
dblp:wrote	pub_1239	0.2385
dblp:publishedIn	venue_11	0.3318
dblp:hasAuthor	author_5535	0.4271
dblp:wrote	pub_3285	0.2220
dblp:inYear	year_4	0.2843
dblp:wrote	pub_8011	0.2232
dblp:inYear	year_15	0.3153
dblp:hasAuthor	author_4083	0.3673
dblp:wrote	pub_4360	0.2571
dblp:wrote	pub_1525	0.2168
dblp:inYear	year_8	0.2163
dblp:inYear	year_5	0.2319
dblp:publishedIn	venue_17	0.4000
dblp:inYear	year_12	0.2857
dblp:hasAuthor	author_3794	0.3102
dblp:hasAuthor	author_4249	0.3380
dblp:publishedIn	venue_50	0.4167
dblp:inYear	year_1	0.2707
dblp:wrote	pub_7876	0.2630
dblp:publishedIn	venue_41	0.2989
dblp:inYear	year_9	0.3085
dblp:publishedIn	venue_8	0.3710
dblp:hasAuthor	author_809	0.3278
dblp:inYear	year_2	0.3507
dblp:wrote	pub_4065	0.1783
dblp:publishedIn	venue_38	0.4132
dblp:hasAuthor	author_5715	0.3634
dblp:inYear	year_5	0.3529
dblp:hasAuthor	author_4099	0.4507
dblp:hasAuthor	author_4957	0.3302
dblp:publishedIn	venue_8	0.3919
dblp:publishedIn	venue_47	0.3250
dblp:publishedIn	venue_23	0.2828
dblp:wrote	pub_1353	0.2818
dblp:hasAuthor	author_551	0.4031
dblp:hasAuthor	author_105	0.3003
dblp:hasAuthor	author_4311	0.4357
dblp:publishedIn	venue_8	0.3915
dblp:publishedIn	venue_25	0.3895
dblp:publishedIn	venue_17	0.4168
dblp:inYear	year_17	0.2841
dblp:wrote	pub_3056	0.2814
dblp:inYear	year_15	0.2644
dblp:publishedIn	venue_46	0.3117
dblp:publishedIn	venue_50	0.3109
dblp:publishedIn	venue_15	0.3161
dblp:wrote	pub_4616	0.3108
dblp:publishedIn	venue_40	0.3450
dblp:inYear	year_7	0.2749
dblp:hasAuthor	author_2255	0.3696
dblp:hasAuthor	author_551	0.4782
dblp:inYear	year_16	0.2650
dblp:hasAuthor	author_5615	0.4503
dblp:publishedIn	venue_17	0.3119
dblp:wrote	pub_864	0.3199
dblp:wrote	pub_321	0.2533
dblp:wrote	pub_4947	0.2352
dblp:publishedIn	venue_41	0.2812
dblp:hasAuthor	author_187	0.3275
dblp:inYear	year_0	0.2831
dblp:inYear	year_12	0.3377
dblp:hasAuthor	author_2735	0.4070
dblp:inYear	year_4	0.2586
dblp:inYear	year_15	0.2452
dblp:wrote	pub_1723	0.2553
dblp:wrote	pub_2488	0.1960
dblp:wrote	pub_4065	0.3641
dblp:wrote	pub_2595	0.3014
dblp:inYear	year_9	0.2673
dblp:hasAuthor	author_2061	0.3299
dblp:hasAuthor	author_538	0.2815
dblp:inYear	year_12	0.2613
dblp:inYear	year_11	0.2596
dblp:publishedIn	venue_12	0.4271
dblp:publishedIn	venue_8	0.2825
dblp:wrote	pub_5080	0.2102
dblp:hasAuthor	author_5425	0.2615
dblp:publishedIn	venue_8	0.3353
dblp:wrote	pub_5602	0.2366
dblp:hasAuthor	author_2795	0.3843
dblp:inYear	year_5	0.2929
dblp:publishedIn	venue_31	0.3746
dblp:inYear	year_5	0.2250
dblp:publishedIn	venue_27	0.3428
dblp:wrote	pub_8038	0.2116
dblp:inYear	year_12	0.2576
dblp:hasAuthor	author_5553	0.4252
dblp:hasAuthor	author_4983	0.3345
dblp:inYear	year_4	0.3452
dblp:hasAuthor	author_81	0.3668
dblp:hasAuthor	author_4233	0.3579
dblp:hasAuthor	author_5902	0.3348
dblp:hasAuthor	author_5884	0.3507
dblp:inYear	year_0	0.3090
dblp:wrote	pub_2837	0.2762
dblp:publishedIn	venue_6	0.3556
dblp:publishedIn	venue_17	0.3160
dblp:hasAuthor	author_1606	0.3670
dblp:hasAuthor	author_3438	0.4094
dblp:publishedIn	venue_43	0.3368
dblp:publishedIn	venue_51	0.2844
dblp:publishedIn	venue_4	0.3667
dblp:inYear	year_11	0.3255
dblp:inYear	year_15	0.2544
dblp:publishedIn	venue_11	0.3393
dblp:hasAuthor	author_1611	0.4493
dblp:inYear	year_15	0.2729
dblp:publishedIn	venue_12	0.3597
dblp:inYear	year_4	0.3017
dblp:wrote	pub_7217	0.1886
dblp:wrote	pub_2027	0.3546
dblp:wrote	pub_4402	0.2777
dblp:inYear	year_14	0.3364
dblp:inYear	year_8	0.2191
dblp:publishedIn	venue_8	0.3700
dblp:wrote	pub_3109	0.1847
dblp:hasAuthor	author_2598	0.3993
dblp:inYear	year_15	0.2373
dblp:wrote	pub_971	0.2276
dblp:hasAuthor	author_3981	0.4974
dblp:inYear	year_9	0.2847
dblp:inYear	year_17	0.2708
dblp:wrote	pub_7545	0.2004
dblp:wrote	pub_1489	0.2498
dblp:wrote	pub_208	0.2310
dblp:publishedIn	venue_8	0.3519
dblp:wrote	pub_2123	0.2388
dblp:wrote	pub_5866	0.2749
dblp:inYear	year_2	0.2785
dblp:wrote	pub_6456	0.2538
dblp:inYear	year_15	0.2406
dblp:publishedIn	venue_40	0.3424
dblp:inYear	year_15	0.1980
dblp:publishedIn	venue_4	0.3000
dblp:wrote	pub_377	0.2330
dblp:hasAuthor	author_790	0.3302
dblp:wrote	pub_908	0.2522
dblp:wrote	pub_7578	0.2701
dblp:wrote	pub_1084	0.2177
dblp:wrote	pub_585	0.2142
dblp:hasAuthor	author_2662	0.3247
dblp:inYear	year_0	0.3188
dblp:hasAuthor	author_5715	0.4037
dblp:wrote	pub_6276	0.2959
dblp:inYear	year_15	0.3034
dblp:hasAuthor	author_1311	0.5145
dblp:inYear	year_7	0.2706
dblp:inYear	year_9	0.2743
dblp:wrote	pub_465	0.2444
dblp:publishedIn	venue_6	0.2865
dblp:hasAuthor	author_4472	0.3878
dblp:wrote	pub_4264	0.2913
dblp:publishedIn	venue_6	0.2827
dblp:inYear	year_0	0.3057
dblp:hasAuthor	author_1930	0.3746
dblp:wrote	pub_881	0.2496
dblp:hasAuthor	author_1560	0.3088
dblp:publishedIn	venue_8	0.2494
dblp:hasAuthor	author_1684	0.4660
dblp:wrote	pub_2488	0.3077
dblp:publishedIn	venue_52	0.3519
dblp:hasAuthor	author_1606	0.3587
dblp:wrote	pub_1233	0.2722
dblp:hasAuthor	author_623	0.3732
dblp:hasAuthor	author_5679	0.5097
dblp:hasAuthor	author_4340	0.3270
dblp:publishedIn	venue_35	0.4199
dblp:inYear	year_5	0.2830
dblp:inYear	year_9	0.3397
dblp:wrote	pub_529	0.3435
dblp:wrote	pub_5950	0.2418
dblp:hasAuthor	author_5679	0.3727
dblp:publishedIn	venue_9	0.3288
dblp:inYear	year_16	0.3763
dblp:wrote	pub_2805	0.2637
dblp:wrote	pub_5504	0.3183
dblp:hasAuthor	author_5768	0.2949
dblp:wrote	pub_1981	0.2421
dblp:inYear	year_15	0.3521
dblp:inYear	year_7	0.3222
dblp:inYear	year_0	0.2780
dblp:wrote	pub_6649	0.1974
dblp:inYear	year_2	0.2425
dblp:publishedIn	venue_11	0.3690
dblp:publishedIn	venue_41	0.4189
dblp:hasAuthor	author_398	0.2642
dblp:inYear	year_9	0.2772
dblp:wrote	pub_2309	0.2597
dblp:publishedIn	venue_27	0.3029
dblp:publishedIn	venue_27	0.3369
dblp:inYear	year_5	0.2413
dblp:wrote	pub_5243	0.2108
dblp:inYear	year_15	0.3044
dblp:wrote	pub_1682	0.2791
dblp:publishedIn	venue_51	0.3531
dblp:wrote	pub_3155	0.1968
dblp:inYear	year_9	0.2954
dblp:publishedIn	venue_27	0.3285
dblp:wrote	pub_2837	0.2832
dblp:inYear	year_15	0.3061
dblp:wrote	pub_2396	0.2975
dblp:publishedIn	venue_41	0.3682
dblp:hasAuthor	author_2469	0.3863
dblp:hasAuthor	author_4702	0.5285
dblp:wrote	pub_2551	0.2282
dblp:wrote	pub_2602	0.2519
dblp:inYear	year_9	0.2819
dblp:publishedIn	venue_38	0.3091
dblp:publishedIn	venue_25	0.4902
dblp:hasAuthor	author_5190	0.3560
dblp:publishedIn	venue_46	0.3873
dblp:wrote	pub_5602	0.2527
dblp:inYear	year_12	0.3339
dblp:publishedIn	venue_23	0.2671
dblp:inYear	year_9	0.3108
dblp:inYear	year_17	0.2552
dblp:hasAuthor	author_792	0.2935
dblp:publishedIn	venue_6	0.3731
dblp:hasAuthor	author_5519	0.3762
dblp:wrote	pub_2497	0.2653
dblp:inYear	year_7	0.2684
dblp:hasAuthor	author_1930	0.3376
dblp:hasAuthor	author_272	0.3465
dblp:hasAuthor	author_3652	0.3540
dblp:wrote	pub_7770	0.2296
dblp:publishedIn	venue_4	0.2673
dblp:publishedIn	venue_41	0.2587
dblp:publishedIn	venue_27	0.3973
dblp:hasAuthor	author_3417	0.3645
dblp:inYear	year_4	0.2724
dblp:hasAuthor	author_5251	0.4190
dblp:publishedIn	venue_23	0.3596
dblp:publishedIn	venue_12	0.3994
dblp:hasAuthor	author_1476	0.3599
dblp:hasAuthor	author_4972	0.3857
dblp:publishedIn	venue_31	0.3828
dblp:hasAuthor	author_2018	0.2911
dblp:publishedIn	venue_0	0.3630
dblp:publishedIn	venue_41	0.2539
dblp:hasAuthor	author_1311	0.4088
dblp:publishedIn	venue_41	0.3402
dblp:publishedIn	venue_46	0.3587
dblp:hasAuthor	author_3654	0.4383
dblp:publishedIn	venue_41	0.4658
dblp:publishedIn	venue_8	0.3580
dblp:publishedIn	venue_11	0.2900
dblp:wrote	pub_5807	0.2080
dblp:inYear	year_4	0.3111
dblp:wrote	pub_635	0.2127
dblp:wrote	pub_336	0.3961
dblp:publishedIn	venue_40	0.3818
dblp:hasAuthor	author_4991	0.4099
dblp:wrote	pub_1071	0.2586
dblp:inYear	year_2	0.2919
dblp:wrote	pub_2292	0.2170
dblp:inYear	year_11	0.2953
dblp:inYear	year_16	0.2741
dblp:inYear	year_0	0.2013
dblp:wrote	pub_1852	0.3220
dblp:inYear	year_4	0.3053
dblp:hasAuthor	author_3348	0.4150
dblp:hasAuthor	author_475	0.3588
dblp:publishedIn	venue_17	0.4292
dblp:publishedIn	venue_51	0.4087
dblp:wrote	pub_6004	0.2326
dblp:wrote	pub_7929	0.2948
dblp:inYear	year_2	0.2757
dblp:wrote	pub_968	0.2151
dblp:wrote	pub_2363	0.2222
dblp:wrote	pub_1021	0.2911
dblp:inYear	year_4	0.2364
dblp:wrote	pub_2166	0.2277
dblp:inYear	year_2	0.3560
dblp:wrote	pub_2054	0.2025
dblp:publishedIn	venue_27	0.3169
dblp:hasAuthor	author_2121	0.2874
dblp:hasAuthor	author_627	0.4023
dblp:publishedIn	venue_43	0.5220
dblp:wrote	pub_2292	0.2475
dblp:hasAuthor	author_1929	0.4017
